;index;recovered_yhat;recovered_yhat_lower;recovered_yhat_upper;ds;deaths_yhat;deaths_yhat_lower;deaths_yhat_upper;confirmed_yhat;confirmed_yhat_lower;confirmed_yhat_upper;confirmed;deaths;recovered
86;86;347697.44713726145;336542.18882124824;359343.09625710285;2020-04-17;105384.36604837788;101587.33340500548;109111.18484415475;1806065.3653872018;1740016.8473871874;1870963.0183259738;;;
87;87;358217.63335321296;344720.5987579501;371416.8941302285;2020-04-18;108475.54141120103;104311.18879598494;112350.84456295117;1836619.917205935;1766754.8370737208;1904644.8149955445;;;
88;88;369176.92419521394;355733.5629834525;382370.66408639937;2020-04-19;112717.84146779774;108227.72691140711;117097.76699524373;1920358.0899673484;1846898.414940039;1990939.9398277388;;;
89;89;378894.2152583972;364148.83718608675;393202.3722066959;2020-04-20;116299.3234384033;111670.05478654771;121284.74158619718;1976946.076573731;1899059.5850265275;2056511.5428356254;;;
90;90;385536.0470772473;369944.20140181365;400524.70604340534;2020-04-21;119016.50648083295;114075.51459272602;124176.6751964893;2018756.3062242826;1935712.5004666084;2103274.0397015554;;;
91;91;395777.24943202425;379652.9617176891;412456.7508888166;2020-04-22;122679.34801488867;117001.32759965619;127935.20470953296;2077049.8304076903;1990168.49298089;2165645.1510291;;;
92;92;405820.30366882955;388660.06987679115;423539.4175409969;2020-04-23;126424.98847005476;120698.92440067691;132522.26850379008;2137297.791718933;2042643.2249792127;2231565.9959137533;;;
93;93;415832.6719228819;397985.9599012058;434343.62966852624;2020-04-24;130243.34568957658;123727.96771903767;136532.46315842593;2194399.79920902;2084154.9076127936;2296397.4774050605;;;
94;94;426352.85813883034;406948.54509870004;446476.0481428915;2020-04-25;133334.52105239927;126332.148328339;140124.64792575812;2224954.3510277695;2109930.152124458;2330254.6912599714;;;
95;95;437312.14898083237;415974.38721585367;458853.6665329428;2020-04-26;137576.82110899652;129925.06707974256;144854.45802141447;2308692.523789197;2182206.91577792;2419746.7683906015;;;
96;96;447029.44004402275;425542.174159988;470404.38636212423;2020-04-27;141158.30307960388;132958.45367459828;149098.3057555589;2365280.510395607;2236892.407958161;2484761.285189573;;;
97;97;453671.2718628641;429237.5954895546;478544.70313471777;2020-04-28;143875.486122032;135139.59503986593;152347.09492454474;2407090.740046149;2267716.235986584;2538877.9274252383;;;
98;98;463912.47421764146;439013.2103201644;490038.7885893971;2020-04-29;147538.3276560885;138484.4527251169;156801.95984234582;2465384.2642295943;2315931.494251262;2606926.182953185;;;
99;99;473955.5284544464;446924.7552342872;502029.4606305038;2020-04-30;151283.96811125387;141192.8867548323;161312.065448159;2525632.225540799;2372176.119024763;2680542.5282371594;;;
100;100;483967.8967084968;455695.5477435567;512364.80490546004;2020-05-01;155102.3253307759;144796.93151491377;165154.47125394715;2582734.2330309376;2421096.3418361675;2743217.1313531604;;;
101;101;494488.0829244439;464944.8027787993;524794.6768027054;2020-05-02;158193.50069359737;147196.73176913336;169190.51969867654;2613288.7848496004;2437881.8604943436;2780086.889204769;;;
102;102;505447.373766451;473396.8915608997;537531.0059372714;2020-05-03;162435.80075019537;151139.92403000878;173667.15477492384;2697026.9576110477;2512007.092589791;2875164.637302625;;;
103;103;515164.66482963983;482062.92217974004;548697.1637786936;2020-05-04;166017.28272080244;153960.72349561413;177859.78226005647;2753614.944217451;2556633.423176544;2941164.8131307955;;;
104;104;521806.4966484815;486704.9189602033;556078.6375780604;2020-05-05;168734.46576322886;155827.4828290454;181455.7690357453;2795425.17386792;2584654.379296528;2998978.241823074;;;
105;105;532047.6990032615;494432.6263223185;569436.3965575555;2020-05-06;172397.3072972869;158846.16190225203;185409.55881497357;2853718.6980514093;2651875.0899315877;3059279.8531626053;;;
